PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM
FUMARATO DE TENOFOVIR DESOPROXILA;ENTRICITABINA,15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,546820020000617
FUMARATO DE TENOFOVIR DESOPROXILA;LAMIVUDINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506720060083007
FUMARATO DE VONOPRAZANA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501120080031407
"FUMARATO FERROSO;CIANOCOBALAMINA 0,1%;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO;COLECALCIFEROL",10.555.143/0001-13,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,542821040008607
FUROATO DE FLUTICASONA,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510611301139217
FUROATO DE FLUTICASONA;TRIFENATATO DE VILANTEROL,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510614060051902
FUROATO DE MOMETASONA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525515100018404
FUROATO DE MOMETASONA MONOIDRATADO,44.363.661/0001-57,GLENMARK FARMACÊUTICA LTDA,521920040020007
FUROSEMIDA,04.099.395/0001-82,SANTISA LABORATÓRIO FARMACÊUTICO S/A,530700501154414
FUROSEMIDA;CLORETO DE POTÁSSIO,33.145.194/0001-72,LABORATÓRIO GROSS S. A.,517700602115413
FUSAFUNGINA,42.374.207/0001-76,LABORATÓRIOS SERVIER DO BRASIL LTDA,531300801175311
GABAPENTINA,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511516090063506
GADOBENATO DE DIMEGLUMINA,10.742.412/0004-01,BRACCO IMAGING DO BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA,559219070003002
GADOBUTROL,18.459.628/0001-15,BAYER S.A.,538918120028803
GADODIAMIDA,00.029.372/0001-40,GE HEALTHCARE DO BRASIL COMÉRCIO E SERVIÇOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,541613060002004
GADOPENTETATO DE DIMEGLUMINA,32.137.424/0001-99,ALKO DO BRASIL INDUSTRIA E COMERCIO LTDA,538400103159410
GADOTERIDOL,10.742.412/0004-01,BRACCO IMAGING DO BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA,540700202154417
GADOVERSETAMIDA,30.153.811/0001-93,GUERBET IMAGEM DO BRASIL LTDA,524500305152212
GADOXETATO DISSÓDICO,18.459.628/0001-15,BAYER S.A.,538912030009902
GALCANEZUMABE,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507620040021007
GALSULFASE,08.002.360/0001-34,BIOMARIN BRASIL FARMACÊUTICA LTDA,542413080000002
GAMANONACOGUE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121010033217
GANCICLOVIR,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529201302152315
GANCICLOVIR SÓDICO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508007803157117
GANGLIOSÍDEO GM1,61.455.192/0001-15,TRB PHARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA LTDA,532800902157217
GARCINIA CAMBOGIA ROXB.,94.022.654/0001-60,LABORATORIO QUIMICO FARMACEUTICO TIARAJU LTDA.,587520080000107
GATIFLOXACINO,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501005901170318
GATIFLOXACINO SESQUI-HIDRATADO;ACETATO DE PREDNISOLONA,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501006701132313
GEFITINIBE,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502306301111313
GELATINA;TROMBINA,49.351.786/0002-61,BAXTER HOSPITALAR LTDA,503215100023303
GEMIFLOXACINO,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500511801116215
GENFIBROZILA,57.507.378/0003-65,EMS S/A,541814030007106
GENTUZUMABE OZOGAMICINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522721060090102
GESTODENO;ETINILESTRADIOL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523701901110414
GINKGO BILOBA L.,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504920050011307
GIVOSIRANA SÓDICA,31.731.807/0001-28,SPECIALTY PHARMA GOIAS LTDA,587920100000207
GLIBENCLAMIDA,57.507.378/0003-65,EMS S/A,507730201111112
GLIBENCLAMIDA;CLORIDRATO DE METFORMINA,33.069.212/0001-84,MERCK S/A,525405201114411
GLICERINA BIDESTILADA,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216120033103
GLICEROFOSFATO DE CÁLCIO;ERGOCALCIFEROL;FOSFATO DE CÁLCIO TRIBÁSICO;CIANOCOBALAMINA;FLUORETO DE SÓDIO,03.993.167/0001-99,VIDFARMA INDÚSTRIA DE MEDICAMENTOS LTDA,541220090001007
GLICEROFOSFATO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509503901151411
GLICEROL,21.561.931/0003-09,LABORATÓRIO SANOBIOL LTDA,520115080006904
GLICEROL;ÓLEO DE SOJA;LECITINA DE OVO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509515070029303
GLICINA,55.972.087/0001-50,JP INDUSTRIA FARMACEUTICA S/A,514917060009804
GLICINATO DE ALUMÍNIO;ÁCIDO ACETILSALICÍLICO;CARBONATO DE MAGNÉSIO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531618070082403
GLICINATO DE MAGNÉSIO;CLORIDRATO DE PIRIDOXINA,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820080010807
GLICINATO DE ZINCO,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504120050068007
GLICINATO FÉRRICO,60.726.692/0001-81,MARJAN INDÚSTRIA E COMÉRCIO LTDA,524820040010107
GLICLAZIDA,57.507.378/0003-65,EMS S/A,541818070086806
GLICLAZIDA;CLORIDRATO DE METFORMINA,33.069.212/0001-84,MERCK S/A,525418100050005
GLICONATO DE CÁLCIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509507601152413
GLICONATO DE CLOREXIDINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506708701176416
GLICONATO DE ZINCO,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500212090030305
GLICONATO DE ZINCO;ÁCIDO ASCÓRBICO,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506320070034607
GLICOSE,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509501113156410
GLICOSE ANIDRA;CLORETO DE SÓDIO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506720120088217
GLICOSE MONOIDRATADA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508030713150411
GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO,17.115.437/0001-73,LABORATÓRIO GLOBO SA,517605805136411
GLICOSE;CLORETO DE SÓDIO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509502716156410
GLICOSE;GLICOSE MONOIDRATADA,01.784.792/0001-03,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA,507916060012203
GLIMEPIRIDA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508029102119414
GLIPIZIDA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522717110062517
GLUCAGON,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526600201150415
GLUTAMINA;CLORIDRATO DE HIDROXOCOBALAMINA;CLORIDRATO DE ARGININA;FOSFATO DE LEVOTREONINA;DEXFOSFOSSERINA;TRIPTOFANO,61.363.032/0001-46,CHIESI FARMACÊUTICA LTDA,508520070012907
GLYCINE MAX,29.346.301/0001-53,LABORATÓRIO FARMACÊUTICO VITAMED LTDA,517320060002507
GLYCINE MAX (L.) MERR.,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919120097107
GOLIMUMABE,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541921080008907
GONADOTROFINA CORIÔNICA,64.711.500/0001-14,UCB BIOPHARMA LTDA.,525212040018003
GRISEOFULVINA,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502301901110317
GUAIACOL;CÂNFORA (2-BORNANONA);MENTOL;EUCALIPTOL,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500511102161416
GUAIACOL;TERPINA MONOIDRATADA;CÂNFORA (2-BORNANONA);MENTOL;EUCALIPTOL,33.145.194/0001-72,LABORATÓRIO GROSS S. A.,517701201157415
GUAIFENESINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500511101130411
GUAIFENESINA;SULFATO DE PSEUDOEFEDRINA;MALEATO DE DEXCLORFENIRAMINA,57.507.378/0003-65,EMS S/A,541818090088406
GUSELCUMABE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514518070034802
HALOPERIDOL,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070035106
HALOTANO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506707102171419
HAMAMELIS VIRGINIANA L.,28.938.645/0001-99,PINUS INDUSTRIA QUIMICA E FARMACEUTICA LTDA,528321040000107
HARPAGOPHYTUM PROCUMBENS (BURCH.) DC. EX MEISSN.,56.646.953/0001-86,LABORATORIO VITALAB LTDA,581220030000807
HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501620010023207
HEDERA HELIX (HERA),46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504920050011107
HEDERA HELIX L.,46.179.008/0001-68,BRASTERAPICA INDUSTRIA FARMACEUTICA EIRELI,504920070011807
HEMAGLUTININA FILAMENTOSA;POLISSACARIDEO DE HAEMOPHILUS INFLUENZAE TIPO B;POLIOVÍRUS TIPO 1 (MAHONEY);POLISSACARÍDEO DE HAEMOPHILUS INFLUENZAE TIPO B CONJUGADO COM PROTEÍNA TETÂNICA;TOXÓIDE TETÂNICO;POLIOVÍRUS TIPO 3;POLIOVÍRUS TIPO 2;TOXÓIDE DIFTÉRICO;TOXÓIDE PERTUSSIS,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720060074417
HEMIFUMARATO DE ALISQUIRENO,57.507.378/0003-65,EMS S/A,541818120095506
HEMIFUMARATO DE BISOPROLOL,33.069.212/0001-84,MERCK S/A,525403003110413
HEMIFUMARATO DE BISOPROLOL;BESILATO DE ANLODIPINO,33.069.212/0001-84,MERCK S/A,525421020052105
HEMIFUMARATO DE BISOPROLOL;HIDROCLOROTIAZIDA,33.069.212/0001-84,MERCK S/A,525401102111411
HEMIFUMARATO DE COBIMETINIBE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529216110026801
HEMIFUMARATO DE GILTERITINIBE,07.768.134/0001-04,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.,540320080003707
HEMIFUMARATO DE QUETIAPINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508015060107606
HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA,15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,546820020000407
HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA;COBICISTATE;ELVITEGRAVIR;ENTRICITABINA,15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,546820100001007
HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA;ENTRICITABINA,15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,546820060000807
HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA;ENTRICITABINA;BICTEGRAVIR SÓDICO,15.670.288/0001-89,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,546820060000707
HEMINA,53.056.057/0001-79,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,576920020000207
HEMITARTARATO DE ELIGLUSTATE,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502819120079017
HEMITARTARATO DE EPINEFRINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504414010049518
HEMITARTARATO DE EPINEFRINA;CLORIDRATO DE LEVOBUPIVACAÍNA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506711902152417
HEMITARTARATO DE NOREPINEFRINA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070033317
HEMITARTARATO DE RIVASTIGMINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919120095817
HEMITARTARATO DE VINORELBINA,33.051.491/0001-59,LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA,507003603112316
HEMITARTARATO DE ZOLPIDEM,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508018080122006
HEPARINA SÓDICA BOVINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508018110123607
HEPARINA SÓDICA SUÍNA,57.507.378/0003-65,EMS S/A,541815070012002
HEPARINA SÓDICA SUÍNA;NICOTINATO DE BENZILA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500209401161417
HEPARINA SUÍNA;CUMARINA,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501112050018903
HESPERIDINA;CLORIDRATO DE PIPERIDOLATO;ÁCIDO ASCÓRBICO,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502803301111310
HESPERIDINA;DIOSMINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014070105804
HESPERIDINA;DIOSMINA;FLAVONÓIDES EXPRESSOS EM HESPERIDINA,57.507.378/0003-65,EMS S/A,541820070134507
HEXACETONIDO DE TRIANCINOLONA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501614100015303
HEXAFLUORETO DE ENXOFRE,10.742.412/0004-01,BRACCO IMAGING DO BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA,540714090002202
HIALURONATO DE SÓDIO,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506720110087407
HIALURONIDASE;VALERATO DE BETAMETASONA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501602201160313
HICLATO DE DOXICICLINA,33.145.194/0001-72,LABORATÓRIO GROSS S. A.,517701804110410
HIDROCLOROTIAZIDA,10.877.926/0001-13,LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE,517003001111413
HIDROCLOROTIAZIDA;BESILATO DE ANLODIPINO;OLMESARTANA MEDOXOMILA,60.874.187/0001-84,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,530421060017605
HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523715080031506
HIDROCLOROTIAZIDA;CILAZAPRIL,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529206212119311
HIDROCLOROTIAZIDA;CLORIDRATO DE PROPRANOLOL,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531603901117412
HIDROCLOROTIAZIDA;IRBESARTANA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508012120095006
HIDROCLOROTIAZIDA;LISINOPRIL,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503301113311
HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525512070015103
HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525500402113310
HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508014070104904
HIDROCLOROTIAZIDA;RAMIPRIL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523703002113417
HIDROCLOROTIAZIDA;SUCCINATO DE METOPROLOL,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502315030023803
HIDROCLOROTIAZIDA;TARTARATO DE METOPROLOL,60.318.797/0001-00,ASTRAZENECA DO BRASIL LTDA,502315040026303
HIDROCLOROTIAZIDA;TELMISARTANA,57.507.378/0003-65,EMS S/A,541818070087906
HIDROCORTISONA,57.507.378/0003-65,EMS S/A,507734701161111
HIDROGENOTARTARATO DE RIVASTIGMINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526506005130310
HIDROQUINONA,57.507.378/0003-65,EMS S/A,507742301167113
HIDROSMINA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504115070053602
HIDROXIBENZOATO DE VIMINOL,61.100.004/0001-36,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,533800301119413
HIDROXICARBAMIDA,56.998.982/0001-07,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,505102501117316
HIDRÓXIDO DE ALUMÍNIO,48.113.906/0001-49,1FARMA INDUSTRIA FARMACEUTICA LTDA,526213060008504
HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO,02.456.955/0001-83,NATULAB LABORATÓRIO S.A,540415080009207
HIDRÓXIDO DE ALUMÍNIO;TRISSILICATO DE MAGNÉSIO;HIDRÓXIDO DE MAGNÉSIO,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,525007001115415
HIDROXIETILAMIDO,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509505401156311
HIDROXINAFTOATO DE SALMETEROL,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510607104170318
HIDROXIPROPIL GUAR;MACROGOL;PROPILENOGLICOL,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506720030082207
HIDROXIQUINOLINA;TROLAMINA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,500900601177318
HIDROXIURÉIA,00.394.429/0099-14,LABORATORIO QUIMICO FARMACEUTICO DA AERONAUTICA,519620120003607
HIDROXIZINA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508016090112204
HIDROXOCOBALAMINA,49.475.833/0001-06,BIOLAB SANUS FARMACÊUTICA LTDA,504101701157415
HIMATANTHUS LANCIFOLIUS;CEREUS JAMACARU;DORSTENIA MULTIFORMIS;ERYTHRINA VELUTINA,79.634.572/0001-82,AS ERVAS CURAM INDUSTRIA FARMACEUTICA LTDA,501919120000107
HIPOFOSFITO DE SÓDIO;PALMITATO DE RETINOL;COLECALCIFEROL,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510602402130410
HIPROMELOSE,43.426.626/0001-77,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,501002701170417
HPV-18 L1;HPV-16 L1,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510611010150311
HYPERICUM PERFORATUM,68.032.192/0001-51,BIONATUS LABORATÓRIO BOTÂNICO LTDA,557819120000407
HYPERICUM PERFORATUM L.,56.646.953/0001-86,LABORATORIO VITALAB LTDA,581220100001407
IBANDRONATO DE SÓDIO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020050131007
IBANDRONATO DE SÓDIO MONOIDRATADO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508020070132907
IBRUTINIBE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514515110028201
IBUPROFENO,33.247.743/0001-10,GLAXOSMITHKLINE BRASIL LTDA,510621050056707
IBUPROFENO ARGININA,61.100.004/0001-36,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,533801904135427
IBUPROFENO;ARGININA,61.100.004/0001-36,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,533801903139429
IBUPROFENO;PARACETAMOL,59.557.124/0001-15,RECKITT BENCKISER (BRASIL) LTDA,540121020005207
ICODEXTRINA;LACTATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO,49.351.786/0002-61,BAXTER HOSPITALAR LTDA,503206301134312
IDARUCIZUMABE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504517090020902
IDURSULFASE,60.397.775/0001-74,TAKEDA PHARMA LTDA.,501121010034317
IFOSFAMIDA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508008501154113
ILOPROSTA,18.459.628/0001-15,BAYER S.A.,538902401131318
IMIGLUCERASE,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502818100077817
IMIPENÉM MONOIDRATADO,33.258.401/0001-03,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,513414120022903
IMIPENÉM;CILASTATINA SÓDICA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA,509521070034317
IMIQUIMODE,33.349.473/0001-58,FARMOQUÍMICA S/A,509004702161411
IMUNOGLOBULINA ANTI-D,02.513.899/0001-71,GRIFOLS BRASIL LTDA,510913010003503
IMUNOGLOBULINA ANTI-RHO(D),62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502601901159412
IMUNOGLOBULINA ANTIRRÁBICA,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004407
IMUNOGLOBULINA ANTITETÂNICA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502601501150418
IMUNOGLOBULINA DE COELHO ANTI-TIMÓCITOS HUMANOS,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720070080617
IMUNOGLOBULINA G,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502600502153412
IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA BOTULÍNICA TIPO B;IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA BOTULÍNICA TIPO A,61.821.344/0001-56,INSTITUTO BUTANTAN,545318060001707
IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA DIFTÉRICA,61.821.344/0001-56,INSTITUTO BUTANTAN,545318060002707
IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA TETÂNICA,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004807
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010005207
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP;IMUNOGLOBULINA HETERÓLOGA CONTRA O VENENO DE LACHESIS MUTA,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004907
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010005107
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP;IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004607
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE LONOMIA OBLIQUA,61.821.344/0001-56,INSTITUTO BUTANTAN,545318060002207
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE MICRURUS FRONTALIS,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004707
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE PHONEUTRIA NIGRIVENTER;IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE LOXOSCELES GAUCHO;IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE TITYUS SERRULATUS,61.821.344/0001-56,INSTITUTO BUTANTAN,545318060002607
IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE TITYUS SERRULATUS,17.503.475/0001-01,FUNDAÇÃO EZEQUIEL DIAS - FUNED,509919010004507
IMUNOGLOBULINA HUMANA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502602104155411
IMUNOGLOBULINA HUMANA ANTI-HEPATITE B,33.348.731/0001-81,BIOTEST FARMACÊUTICA LTDA,524617030002507
INDAPAMIDA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508016030110606
INDOMETACINA,02.433.631/0001-20,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,505609501111317
INFLIXIMABE,18.774.815/0001-93,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,544121040005507
INIBIDOR DE C1 ESTERASE DERIVADO DE PLASMA HUMANO,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502614070006902
INOTERSENA NONADECASSÓDICA,25.210.463/0001-09,PTC FARMACEUTICA DO BRASIL LTDA.,586020060000607
INOTUZUMABE OZOGAMICINA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522719060082602
INSULINA ASPARTE,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526601801151410
INSULINA DEGLUDECA,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526614070007702
INSULINA DETEMIR,82.277.955/0001-55,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,526602102151411
INSULINA GLARGINA,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507617090020007
INSULINA GLARGINA;LIXISENATIDA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720040062917
INSULINA GLULISINA,02.685.377/0001-57,SANOFI-AVENTIS FARMACÊUTICA LTDA,502814501158316
INSULINA HUMANA,57.507.378/0003-65,EMS S/A,541818100091607
INSULINA ISOFANA,57.507.378/0003-65,EMS S/A,541818100092307
INSULINA LISPRO,43.940.618/0001-44,ELI LILLY DO BRASIL LTDA,507601402153319
INTERLEUCINA,55.980.684/0001-27,ZODIAC PRODUTOS FARMACÊUTICOS S/A,534201301152416
IOBITRIDOL,42.180.406/0001-43,GUERBET PRODUTOS RADIOLÓGICOS LTDA,511000305151418
IODETO DE POTÁSSIO,05.161.069/0001-10,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,504613050016814
